lesson_id,lesson_title,course_id
1,Lesson 1: Topic 1,1
2,Lesson 2: Topic 2,1
3,Lesson 3: Topic 3,1
4,Lesson 4: Topic 4,1
5,Lesson 5: Topic 5,1
6,Lesson 6: Topic 6,1
7,Lesson 7: Topic 7,1
8,Lesson 8: Topic 8,1
9,Lesson 1: Topic 1,2
10,Lesson 2: Topic 2,2
11,Lesson 3: Topic 3,2
12,Lesson 4: Topic 4,2
13,Lesson 5: Topic 5,2
14,Lesson 6: Topic 6,2
15,Lesson 7: Topic 7,2
16,Lesson 8: Topic 8,2
17,Lesson 1: Topic 1,3
18,Lesson 2: Topic 2,3
19,Lesson 3: Topic 3,3
20,Lesson 4: Topic 4,3
21,Lesson 5: Topic 5,3
22,Lesson 6: Topic 6,3
23,Lesson 7: Topic 7,3
24,Lesson 8: Topic 8,3
25,Lesson 1: Topic 1,4
26,Lesson 2: Topic 2,4
27,Lesson 3: Topic 3,4
28,Lesson 4: Topic 4,4
29,Lesson 5: Topic 5,4
30,Lesson 6: Topic 6,4
31,Lesson 7: Topic 7,4
32,Lesson 8: Topic 8,4
33,Lesson 1: Topic 1,5
34,Lesson 2: Topic 2,5
35,Lesson 3: Topic 3,5
36,Lesson 4: Topic 4,5
37,Lesson 5: Topic 5,5
38,Lesson 6: Topic 6,5
39,Lesson 7: Topic 7,5
40,Lesson 8: Topic 8,5
41,Lesson 1: Topic 1,6
42,Lesson 2: Topic 2,6
43,Lesson 3: Topic 3,6
44,Lesson 4: Topic 4,6
45,Lesson 5: Topic 5,6
46,Lesson 6: Topic 6,6
47,Lesson 7: Topic 7,6
48,Lesson 8: Topic 8,6
49,Lesson 1: Topic 1,7
50,Lesson 2: Topic 2,7
51,Lesson 3: Topic 3,7
52,Lesson 4: Topic 4,7
53,Lesson 5: Topic 5,7
54,Lesson 6: Topic 6,7
55,Lesson 7: Topic 7,7
56,Lesson 8: Topic 8,7
57,Lesson 1: Topic 1,8
58,Lesson 2: Topic 2,8
59,Lesson 3: Topic 3,8
60,Lesson 4: Topic 4,8
61,Lesson 5: Topic 5,8
62,Lesson 6: Topic 6,8
63,Lesson 7: Topic 7,8
64,Lesson 8: Topic 8,8
65,Lesson 1: Topic 1,9
66,Lesson 2: Topic 2,9
67,Lesson 3: Topic 3,9
68,Lesson 4: Topic 4,9
69,Lesson 5: Topic 5,9
70,Lesson 6: Topic 6,9
